"Player, Club",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Miguel Cabrera,  Tigers",23,7,,,,,,,,,385
"Mike Trout, Angels",5,19,3,1,1,,1,,,,282
"Chris Davis,  Orioles",1,4,11,12,1,,1,,,,232
"Josh Donaldson,  Athletics",1,,14,9,3,3,,,,,222
"Robinson Cano,  Yankees",,,1,5,9,2,6,5,2,,150
"Evan Longoria, Rays",,,,,4,6,6,4,5,3,103
"Dustin Pedroia, Red Sox",,,,1,5,5,5,4,2,1,99
"Adrian Beltre,  Rangers",,,,,2,8,7,3,4,2,99
"Manny Machado,  Orioles",,,,,2,1,2,5,5,7,57
"David Ortiz,  Red Sox",,,,2,1,2,2,1,2,2,47
"Jason Kipnis,  Indians",,,,,1,1,,3,3,5,31
"Max Scherzer,  Tigers",,,1,,,2,,1,1,2,25
"Adam Jones,  Orioles",,,,,1,,,1,,,9
"Edwin Encarnacion,  Blue Jays",,,,,,,,1,2,,7
"Greg Holland, Royals",,,,,,,,1,,,3
"Carlos Santana,  Indians",,,,,,,,1,,,3
"Coco Crisp,  Athletics",,,,,,,,,1,1,3
"Jacoby Ellsbury, Red Sox",,,,,,,,,1,1,3
"Torii Hunter,  Tigers",,,,,,,,,1,,2
"Hisashi Iwakuma,  Mariners",,,,,,,,,1,,2
"Koji Uehara,  Red Sox",,,,,,,,,,2,2
"Yu Darvish,  Rangers",,,,,,,,,,1,1
"Felix Hernandez,  Mariners",,,,,,,,,,1,1
"Salvador Perez, Royals",,,,,,,,,,1,1
"Shane Victorino, Red Sox",,,,,,,,,,1,1
