"Player, Team",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Mike Trout, Angels",30,,,,,,,,,,420
"Victor Martinez,  Tigers",,16,4,3,3,2,1,,,,229
"Michael Brantley,  Indians",,8,6,5,4,1,1,,1,1,191
"Jose Abreu,  White Sox",,1,6,3,1,6,5,2,2,1,145
"Robinson Cano,  Mariners",,1,1,6,5,2,4,2,1,1,124
"Jose Bautista, Blue Jays",,1,1,3,8,4,1,5,3,,122
"Nelson Cruz,  Orioles",,,6,3,2,2,2,,1,1,102
"Josh Donaldson,  Athletics",,1,2,2,,3,3,6,5,2,96
"Miguel Cabrera,  Tigers",,1,2,2,2,2,1,,6,5,82
"Felix Hernandez,  Mariners",,2,1,1,,1,1,1,1,1,48
"Corey Kluber,  Indians",,,1,1,2,,3,,2,2,45
"Alex Gordon, Royals",,,,1,1,2,2,3,1,2,44
"Jose Altuve,  Astros",,,,,,1,3,3,3,9,41
"Adam Jones,  Orioles",,,,,1,3,1,1,2,2,34
"Adrian Beltre,  Rangers",,,,,,,1,5,1,1,22
"Greg Holland, Royals",,,,,1,1,,,1,,13
"Albert Pujols, Angels",,,,,,,1,,,1,5
"Howie Kendrick, Angels",,,,,,,,1,,,3
"James Shields, Royals",,,,,,,,1,,,3
"Kyle Seager,  Mariners",,,,,,,,,,1,1
