Name,Affiliation,Chapt.,1st,2nd,3rd,4th,5th
Guy Curtright,The Sports Xchange,ATL,Kershaw,Wainwright,Cueto,Bumgarner,Zimmermann
Justin McGuire,Sporting News,ATL*,Kershaw,Cueto,Wainwright,Hamels,Fister
Jack Magruder,Fox Sports Arizona,AZ,Kershaw,Cueto,Wainwright,Zimmerman,Hamels
Zach Buchanan,azcentral sports,AZ,Kershaw,Wainwright,Cueto,Hamels,Arrieta
Gordon Wittenmyer,Chicago Sun Times,CHI,Kershaw,Cueto,Wainwright,Zimmerman,Bumgarner
Bruce Miles,Daily Herald,CHI,Kershaw,Cueto,Wainwright,Bumgarner,Kimbrel
John Fay,Cincinnati Enquirer,CIN,Kershaw,Cueto,Wainwright,Zimmerman,Arrieta
Mark Schmetzer,Reds Report,CIN,Kershaw,Cueto,Wainwright,Bumgarner,Kimbrel
Barney Hutchinson,Daily Camera,COL,Kershaw,Cueto,Wainwright,Bumgarner,Fister
Nick Groke,The Denver Post,COL,Kershaw,Cueto,Wainwright,Bumgarner,Hamels
J.P. Hoornstra,Los Angeles News Group,LA,Kershaw,Cueto,Wainwright,Bumgarner,Zimmermann
Mark Saxon,ESPN.com,LA,Kershaw,Cueto,Wainwright,Hamels,Bumgarner
Manny Navarro,Miami Herald,MIA,Kershaw,Wainwright,Cueto,Fister,Alvarez
Juan C. Rodriguez,Sun Sentinel,MIA,Kershaw,Wainwright,Cueto,Bumgarner,Zimmermann
Drew Olson,ESPN Milwaukee,MIL,Kershaw,Cueto,Wainwright,Zimmerman,Hamels
Andrew Gruman,FOXSportsWisconsin.com,MIL,Kershaw,Cueto,Wainwright,Greinke,Zimmermann
Marc Carig,Newsday (New York),NY,Kershaw,Cueto,Wainwright,Hamels,Zimmermann
Anthony McCarron,New York Daily News,NY,Kershaw,Cueto,Wainwright,Bumgarner,Greinke
Jim Salisbury,CSNPhilly.com,PHI,Kershaw,Cueto,Wainwright,Bumgarner,Hamels
Kevin Cooney,Bucks County Courier Times,PHI,Kershaw,Cueto,Wainwright,Hamels,Arrieta
John Perrotto,USA Today,PIT,Kershaw,Wainwright,Cueto,Hamels,Kimbrel
Travis Sawchik,Pittsburgh Tribune-Review,PIT,Kershaw,Cueto,Wainwright,Zimmermann,Strasburg
Jeff Sanders,San Diego Union-Tribune,SD,Kershaw,Wainwright,Zimmermann,Cueto,Strasburg
Dennis Lin,U-T San Diego,SD,Kershaw,Cueto,Wainwright,Bumgarner,Greinke
John Shea,San Francisco Chronicle,SF,Kershaw,Cueto,Wainwright,Bumgarner,Zimmermann
Alex Pavlovic,San Jose Mercury News,SF,Kershaw,Cueto,Wainwright,Bumgarner,Zimmermann
Bernie Miklasz,St. Louis Post Dispatch,STL,Kershaw,Wainwright,Cueto,Zimmerman,Strasburg
Joe Strauss,St. Louis Post Dispatch,STL,Kershaw,Cueto,Wainwright,Greinke,Zimmerman
Tim Kurkjian,ESPN.com,WAS,Kershaw,Cueto,Wainwright,Bumgarner,Hamels
Mark Zuckerman,CSNwashington.com,WAS,Kershaw,Cueto,Wainwright,Zimmermann,Fister
