Name,Affiliation,Chapt.,1st,2nd,3rd,4th,5th
Dave Ginsburg,Associated Press,BAL,Keuchel,Price,Hernandez,Gray,McHugh
Paul White,USA Today,BAL,Keuchel,Gray,Price,Archer,Estrada
Tim Britton,Providence Journal,BOS,Keuchel,Price,Gray,Sale,Kluber
Sean McAdam,Comcast SportsNet New England,BOS,Keuchel,Price,Gray,Archer,Sale
Colleen Kane,Chicago Tribune,CHI,Keuchel,Price,Sale,Gray,Archer
Daryl Van Schouwen,Chicago Sun-Times,CHI,Keuchel,Price,Gray,Sale,Archer
Zack Meisel,Cleveland.com,CLE,Price,Keuchel,Sale,Gray,Archer
Jim Ingraham,News-Herald,CLE,Keuchel,Price,Gray,Carrasco,Sale
Lynn Henning,Detroit News,DET,Keuchel,Price,Gray,Davis,Tolleson
Chris Iott,MLive.com/MLive Media Group,DET,Keuchel,Price,Gray,Archer,Sale
David Barron,Houston Chronicle,HOU,Keuchel,Price,Gray,Hernandez,McHugh
Kristie Rieken,The Associated Press,HOU,Keuchel,Price,Gray,Hernandez,McHugh
Jeff Passan,Yahoo Sports,KC,Keuchel,Price,Gray,Archer,Sale
Andy McCullough,The Kansas City Star,KC,Keuchel,Price,Gray,Sale,Archer
Jeff Fletcher,OC Register,LA,Keuchel,Price,Gray,Archer,Kluber
Mark Whicker,LA Daily News,LA,Keuchel,Price,Gray,Miller,Davis
Patrick Borzi,Honorary,MIN,Price,Keuchel,Gray,McHugh,Davis
Phil Miller,Minneapolis Star Tribune,MIN,Keuchel,Price,Gray,Archer,Davis
Pete Caldera,Bergen Record,NY,Keuchel,Price,Gray,Archer,Sale
Mark Feinsand,New York Daily News,NY,Price,Keuchel,Gray,Archer,Betances
Joe Stiglich,Comcast SportsNet Bay Area,OAK,Price,Keuchel,Gray,Sale,Archer
Matt Kawahara,The Sacramento Bee,OAK,Keuchel,Price,Gray,Sale,Archer
Larry Stone,Seattle Times,SEA,Price,Keuchel,Gray,Sale,Davis
Bob Dutton,Tacoma News Tribune,SEA,Keuchel,Price,Gray,Hernandez,Archer
Martin Fennelly,Tampa Tribune,TB,Price,Keuchel,Davis,Tolleson,Miller
Matt Baker,Tampa Bay Times,TB,Keuchel,Price,Gray,Sale,Archer
Evan Grant,Morning News,TEX,Keuchel,Price,Gray,Archer,Sale
Stefan C Stevenson,Fort Worth Star-Telegram,TEX,Keuchel,Price,Gray,Estrada,Sale
Shi Davidi,At Large,TOR,Price,Keuchel,Sale,Kluber,Archer
Ken Fidlin,Toronto Sun,TOR,Price,Keuchel,Gray,Archer,Davis
