"Player, club",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Bryce Harper,  Nationals",30,,,,,,,,,,420
"Paul Goldschmidt,  Diamondbacks",,18,3,1,3,3,2,,,,234
"Joey Votto,  Reds",,1,6,6,9,4,,,,2,175
"Anthony Rizzo,  Cubs",,3,4,7,4,2,2,3,1,1,162
"Andrew McCutchen,  Pirates",,1,4,3,4,5,3,3,3,1,139
"Jake Arrieta,  Cubs",,5,3,2,,2,4,7,2,,134
"Zack Greinke,  Dodgers",,2,5,4,1,,5,4,3,,130
"Nolan Arenado,  Rockies",,,4,4,2,4,1,,1,4,102
"Buster Posey,  Giants",,,,1,3,6,,5,4,6,84
"Clayton Kershaw,  Dodgers",,,,2,2,1,1,3,2,1,49
"Kris Bryant,  Cubs",,,1,,1,,3,2,1,,34
"Matt Carpenter,  Cardinals",,,,,,,2,,8,2,26
"Yoenis Cespedes,  Mets",,,,,,2,3,,,2,24
"A.J. Pollock,  Diamondbacks",,,,,,,2,1,1,8,21
"Jason Heyward, Cardinals",,,,,1,,1,1,,2,15
"Dee Gordon,  Marlins",,,,,,,,,3,,6
"Trevor Rosenthal, Cardinals",,,,,,1,,,,,5
"Curtis Granderson,  Mets",,,,,,,1,,,,4
"Gerrit Cole,  Pirates",,,,,,,,1,,,3
"Adrian Gonzalez, Dodgers",,,,,,,,,1,1,3
