Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th
Roch Kubatko,MASNsports.com,BAL,Britton,Porcello,Kluber,Verlander,Sale
Rich Dubroff,CSNmidatlantic.com,BAL,Britton,Porcello,Verlander,Kluber,Sale
Christopher Smith,Springfield Republican,BOS,Porcello,Verlander,Kluber,Britton,Happ
Ian Browne,MLB.com,BOS,Verlander,Porcello,Sale,Kluber,Britton
Dan Hayes,Comcast SportsNet Chicago,CHI,Verlander,Porcello,Sale,Kluber,Britton
Scot Gregor,Daily Herald,CHI,Kluber,Porcello,Happ,Britton,Verlander
Zack Meisel,Cleveland.com,CLE,Verlander,Porcello,Kluber,Sale,Tanaka
Jordan Bastian,MLB.com,CLE,Verlander,Sale,Porcello,Kluber,Quintana
Chris McCosky,The Detroit News,DET,Verlander,Porcello,Kluber,Sale,Britton
Anthony Fenech,Detroit Free Press,DET,Verlander,Porcello,Sale,Kluber,Britton
Jake Kaplan,Houston Chronicle,HOU,Verlander,Kluber,Porcello,Sale,Tanaka
MoiseKapenda Bower,The Sports Xchange,HOU,Verlander,Porcello,Kluber,Sale,Britton
Sam Mellinger,Kansas City Star,KC,Verlander,Porcello,Kluber,Sale,Britton
Jeffrey Flanagan,MLB.com,KC,Kluber,Porcello,Verlander,Sale,Fulmer
Tim Brown,Yahoo Sports,LA,Porcello,Kluber,Sale,Verlander,Britton
Mark Whicker,Los Angeles Daily News,LA,Britton,Porcello,Verlander,Kluber,Sanchez
Mike Berardino,St. Paul Pioneer Press,MIN,Verlander,Britton,Miller,Kluber,Porcello
La Velle Neal III,Minneapolis Star Tribune,MIN,Kluber,Porcello,Verlander,Happ,Sale
Pete Caldera,Bergen Record,NY,Porcello,Kluber,Happ,Britton,Verlander
Wallace Matthews,ESPN.com,NY,Porcello,Britton,Kluber,Verlander,Sale
John Shea,San Francisco Chronicle,OAK,Verlander,Porcello,Kluber,Britton,Tanaka
Joe Stiglich,CSN Bay Area,OAK,Britton,Porcello,Verlander,Kluber,Sale
Ryan Divish,Seattle Times,SEA,Porcello,Verlander,Kluber,Sale,Britton
John McGrath,Tacoma News Tribune,SEA,Britton,Porcello,Kluber,Happ,Verlander
Fred Goodall,Associated Press,TB,Porcello,Kluber,Happ,Britton,Sanchez
Bill Chastain,MLB.com,TB,Porcello,Britton,Kluber,Sale,Tanaka
Gerry Fraley,Dallas Morning News,TEX,Porcello,Kluber,Britton,Verlander,Sanchez
Jeff Wilson,Fort Worth Star-Telegram,TEX,Verlander,Porcello,Kluber,Sale,Britton
Shi Davidi,Sportsnet,TOR,Verlander,Kluber,Britton,Porcello,Sale
Brendan Kennedy,Toronto Star,TOR,Verlander,Porcello,Sanchez,Tanaka,Kluber
