"Player, Team",1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Points
"Kris Bryant, Cubs",29,1,,,,,,,,,415
"Daniel Murphy, Nationals",1,11,10,6,1,,1,,,,245
"Corey Seager,  Dodgers",,11,10,7,2,,,,,,240
"Anthony Rizzo,  Cubs",,3,4,10,10,1,2,,,,202
"Nolan Arenado,  Rockies",,3,6,6,11,3,,,,1,199
"Freddie Freeman,  Braves",,1,,1,2,12,6,4,2,1,129
"Joey Votto,  Reds",,,,,1,4,12,5,5,1,100
"Yoenis Cespedes, Mets",,,,,,3,2,5,3,1,45
"Justin Turner, Dodgers",,,,,1,3,1,4,3,1,44
"Max Scherzer,  Nationals",,,,,1,1,2,4,4,,39
"Paul Goldschmidt,  Diamondbacks",,,,,,,,2,3,6,18
"Brandon Crawford,  Giants",,,,,,1,1,1,1,1,15
"Jean Segura,  Diamondbacks ",,,,,,,,1,2,7,14
"Buster Posey,  Giants",,,,,,1,1,,1,,11
"DJ LeMahieu,  Rockies",,,,,,,,,3,2,8
"Madison Bumgarner,  Giants",,,,,1,,,,,1,7
"Jeurys Familia, Mets",,,,,,,,2,,,6
"Wilson Ramos,  Nationals",,,,,,,,2,,,6
"Addison Russell,  Cubs",,,,,,1,,,,,5
"Noah Syndergaard,  Mets",,,,,,,1,,,1,5
"Christian Yelich,  Marlins",,,,,,,,,2,1,5
"Yasmani Grandal,  Dodgers",,,,,,,1,,,,4
"Kyle Hendricks,  Cubs",,,,,,,,,1,,2
"Ryan Braun,  Brewers",,,,,,,,,,2,2
"Yadier Molina,  Cardinals",,,,,,,,,,2,2
"Charlie Blackmon,  Rockies",,,,,,,,,,1,1
"Johnny Cueto,  Giants",,,,,,,,,,1,1
