Name,Affiliation,Chapter,1st,2nd,3rd,4th,5th
Ryan Fagan,Sporting News,ATL,DeGrom,Scherzer,Nola,Corbin,Freeland
Mark Bowman,MLB.com,ATL,DeGrom,Scherzer,Nola,Freeland,Foltynewicz
Steve Gilbert,MLB.com,AZ,DeGrom,Scherzer,Nola,Freeland,Corbin
Zach Buchanan,The Athletic,AZ,DeGrom,Scherzer,Nola,Corbin,Freeland
Katsushi Nagao,Kyodo News,CHI,DeGrom,Scherzer,Nola,Freeland,Corbin
Mark  Gonzales,Chicago Tribune,CHI,DeGrom,Scherzer,Nola,Mikolas,Freeland
Bobby Nightengale,Cincinnati Enquirer,CIN,DeGrom,Scherzer,Nola,Freeland,Corbin
Mark Sheldon,MLB.com,CIN,DeGrom,Scherzer,Nola,Hader,Freeland
Thomas Harding,MLB.com,COL,DeGrom,Scherzer,Freeland,Lester,Nola
Jack Etkin,The SportsXchange,COL,DeGrom,Scherzer,Nola,Freeland,Mikolas
Hideki Okuda,Sports Nippon,LA,DeGrom,Scherzer,Nola,Corbin,Mikolas
J.P. Hoornstra,Southern California News Group,LA,DeGrom,Scherzer,Nola,Corbin,Freeland
Steven Wine,Associated Press,MIA,DeGrom,Scherzer,Nola,Freeland,Mikolas
Joe Frisaro,MLB.com,MIA,DeGrom,Scherzer,Nola,Freeland,Mikolas
Andrew Wagner,The Sports Xchange,MIL,DeGrom,Scherzer,Freeland,Nola,Hader
Todd Rosiak,Milwaukee Journal Sentinel,MIL,DeGrom,Scherzer,Nola,Freeland,Mikolas
Anthony DiComo,MLB.com,NY,DeGrom,Scherzer,Nola,Freeland,Corbin
Tim Britton,The Athletic,NY,DeGrom,Scherzer,Nola,Freeland,Corbin
Meghan Montemurro,The Athletic,PHI,DeGrom,Scherzer,Nola,Corbin,Freeland
Scott Lauber,Philadelphia Inquirer,PHI,DeGrom,Scherzer,Nola,Corbin,Mikolas
John Perrotto,USA TODAY Sports,PIT,DeGrom,Scherzer,Nola,Freeland,Hader
Adam Berry,MLB.com,PIT,DeGrom,Scherzer,Nola,Freeland,Corbin
Scott Miller,Bleacher Report,SD,DeGrom,Scherzer,Nola,Foltynewicz,Freeland
John Maffei,San Diego Union-Tribune,SD,Scherzer,DeGrom,Mikolas,Nola,Freeland
Alex Pavlovic,NBC Sports Bay Area,SF,DeGrom,Scherzer,Nola,Freeland,Corbin
Henry Schulman,San Francisco Chronicle,SF,DeGrom,Scherzer,Nola,Freeland,Corbin
Mark Saxon,The Athletic,STL,DeGrom,Scherzer,Nola,Freeland,Mikolas
Jenifer Langosch,MLB.com,STL,DeGrom,Scherzer,Nola,Corbin,Freeland
Ken Rosenthal,The Athletic,*WAS,DeGrom,Scherzer,Nola,Freeland,Mikolas
Jerry Crasnick,ESPN.com,*WAS,DeGrom,Scherzer,Nola,Freeland,Corbin
